Token,BrownTag,GroundTruth
Great,ADJ,ADJ
price,NOUN,NOUN
I,PRON,PRON
got,[],VERB
better,ADJ,ADJ
range,NOUN,NOUN
by,ADP,ADP
just,ADV,ADV
using,[],VERB
9db,[],NOUN
antennas,NOUN,NOUN
on,ADP,ADP
the,DET,DET
router,NOUN,NOUN
.,PUNCT,PUNCT
This,PRON,PRON
did,VERB,VERB
nothing,PRON,PRON
to,ADP,ADP
boost,VERB,VERB
the,DET,DET
WiFi,NOUN,NOUN
signal,NOUN,NOUN
",",PUNCT,PUNCT
so,ADV,ADV
it's,DET,DET
decommissioned,VERB,VERB
for,ADP,ADP
now,ADV,ADV
.,PUNCT,PUNCT
Gets,VERB,VERB
the,DET,DET
job,NOUN,NOUN
done,ADJ,ADJ
.,PUNCT,PUNCT
Very,ADJ,ADJ
accurate,ADJ,ADJ
Love,VERB,VERB
our,DET,DET
new,ADJ,ADJ
Echo,NOUN,NOUN
.,PUNCT,PUNCT
We,PRON,PRON
purchased,VERB,VERB
a,NOUN,NOUN
2nd,[],NUM
one,NUM,NUM
the,DET,DET
next,ADJ,ADJ
week,NOUN,NOUN
for,ADP,ADP
the,DET,DET
other,ADJ,ADJ
floor,NOUN,NOUN
.,PUNCT,PUNCT
Very,ADJ,ADJ
useful,ADJ,ADJ
and,CONJ,CONJ
easy,ADJ,ADJ
to,ADP,ADP
use,VERB,VERB
.,PUNCT,PUNCT
It,PRON,PRON
was,VERB,VERB
a,NOUN,NOUN
gift,NOUN,NOUN
that,PRON,PRON
I,PRON,PRON
probably,ADV,ADV
wouldn,[],VERB
t,NOUN,NOUN
have,VERB,VERB
bought,VERB,VERB
on,ADP,ADP
my,DET,DET
own,VERB,VERB
and,CONJ,CONJ
I,PRON,PRON
love,VERB,VERB
it,PRON,PRON
.,PUNCT,PUNCT
This,PRON,PRON
thing,NOUN,NOUN
works,NOUN,NOUN
great,ADJ,ADJ
.,PUNCT,PUNCT
No,ADV,ADV
more,ADV,ADV
flaky,ADJ,ADJ
",",PUNCT,PUNCT
random,ADJ,ADJ
dead,ADJ,ADJ
zones,NOUN,NOUN
in,ADP,ADP
my,DET,DET
bedroom,NOUN,NOUN
.,PUNCT,PUNCT
easy,ADJ,ADJ
to,ADP,ADP
set,VERB,VERB
up,ADV,ADV
too,ADV,ADV
.,PUNCT,PUNCT
just,ADV,ADV
plug,NOUN,NOUN
into,ADP,ADP
an,DET,DET
outlet,NOUN,NOUN
near,ADV,ADV
the,DET,DET
router,NOUN,NOUN
",",PUNCT,PUNCT
push,VERB,VERB
a,NOUN,NOUN
couple,NOUN,NOUN
of,ADP,ADP
buttons,NOUN,NOUN
",",PUNCT,PUNCT
and,CONJ,CONJ
then,ADV,ADV
plug,NOUN,NOUN
it,PRON,PRON
into,ADP,ADP
an,DET,DET
outlet,NOUN,NOUN
halfway,ADV,ADV
between,ADP,ADP
the,DET,DET
router,NOUN,NOUN
and,CONJ,CONJ
the,DET,DET
dead,ADJ,ADJ
zone,NOUN,NOUN
.,PUNCT,PUNCT
I,PRON,PRON
have,VERB,VERB
full,ADJ,ADJ
Wi,NOUN,NOUN
Fi,NOUN,NOUN
coverage,NOUN,NOUN
in,ADP,ADP
my,DET,DET
whole,ADV,ADV
house,NOUN,NOUN
now,ADV,ADV
.,PUNCT,PUNCT
PARTY,NOUN,NOUN
.,PUNCT,PUNCT
Received,ADJ,ADJ
Echo,NOUN,NOUN
Dot,NOUN,NOUN
as,CONJ,CONJ
a,NOUN,NOUN
gift,NOUN,NOUN
and,CONJ,CONJ
love,VERB,VERB
it,PRON,PRON
.,PUNCT,PUNCT
Nothing,PRON,PRON
but,CONJ,CONJ
5,NUM,NUM
stars,NOUN,NOUN
.,PUNCT,PUNCT
had,VERB,VERB
trouble,VERB,VERB
with,ADP,ADP
it,PRON,PRON
dropping,[],VERB
the,DET,DET
signal,NOUN,NOUN
",",PUNCT,PUNCT
but,CONJ,CONJ
after,ADP,ADP
some,ADV,ADV
online,ADV,ADV
research,NOUN,NOUN
",",PUNCT,PUNCT
I,PRON,PRON
moved,ADJ,ADJ
the,DET,DET
unit,NOUN,NOUN
and,CONJ,CONJ
its,DET,DET
attached,ADJ,ADJ
speaker,NOUN,NOUN
",",PUNCT,PUNCT
a,NOUN,NOUN
unit,NOUN,NOUN
from,ADP,ADP
my,DET,DET
laptop,NOUN,NOUN
",",PUNCT,PUNCT
to,ADP,ADP
a,NOUN,NOUN
different,ADJ,ADJ
location,NOUN,NOUN
where,ADV,ADV
it,PRON,PRON
was,VERB,VERB
the,DET,DET
only,ADV,ADV
thing,NOUN,NOUN
plugged,[],VERB
into,ADP,ADP
the,DET,DET
outlet,NOUN,NOUN
and,CONJ,CONJ
nothing,PRON,PRON
to,ADP,ADP
interfere,VERB,VERB
and,CONJ,CONJ
it,PRON,PRON
has,VERB,VERB
been,VERB,VERB
giving,NOUN,NOUN
me,NOUN,NOUN
the,DET,DET
same,ADJ,ADJ
trouble,VERB,VERB
free,ADJ,ADJ
service,NOUN,NOUN
my,DET,DET
regular,ADJ,ADJ
Echo,NOUN,NOUN
has,VERB,VERB
",",PUNCT,PUNCT
I,PRON,PRON
might,VERB,VERB
even,ADJ,ADJ
buy,VERB,VERB
a,NOUN,NOUN
third,NOUN,NOUN
one,NUM,NUM
for,ADP,ADP
the,DET,DET
bedroom,NOUN,NOUN
.,PUNCT,PUNCT
Always,ADV,ADV
good,ADJ,ADJ
to,ADP,ADP
have,VERB,VERB
several,PRON,PRON
of,ADP,ADP
these,DET,DET
on,ADP,ADP
hand,NOUN,NOUN
Works,NOUN,NOUN
great,ADJ,ADJ
",",PUNCT,PUNCT
best,ADJ,ADJ
thing,NOUN,NOUN
I,PRON,PRON
bought,VERB,VERB
this,PRON,PRON
year,NOUN,NOUN
It,PRON,PRON
would,VERB,VERB
not,ADV,ADV
hold,VERB,VERB
the,DET,DET
charge,VERB,VERB
and,CONJ,CONJ
we,PRON,PRON
could,VERB,VERB
not,ADV,ADV
get,VERB,VERB
it,PRON,PRON
to,ADP,ADP
work,NOUN,NOUN
.,PUNCT,PUNCT
This,PRON,PRON
is,VERB,VERB
an,DET,DET
awesome,ADJ,ADJ
mouse,NOUN,NOUN
.,PUNCT,PUNCT
I,PRON,PRON
got,[],VERB
this,PRON,PRON
from,ADP,ADP
Walmart,[],NOUN
last,ADJ,ADJ
year,NOUN,NOUN
but,CONJ,CONJ
after,ADP,ADP
an,DET,DET
accident,NOUN,NOUN
in,ADP,ADP
the,DET,DET
kitchen,NOUN,NOUN
",",PUNCT,PUNCT
realized,ADJ,ADJ
that,PRON,PRON
they,PRON,PRON
don't,NOUN,NOUN
function,NOUN,NOUN
well,ADV,ADV
with,ADP,ADP
bread,NOUN,NOUN
dough,NOUN,NOUN
oozing,VERB,VERB
inside,ADJ,ADJ
So,ADV,ADV
",",PUNCT,PUNCT
I,PRON,PRON
got,[],VERB
online,ADV,ADV
to,ADP,ADP
find,VERB,VERB
another,PRON,PRON
and,CONJ,CONJ
decided,ADJ,ADJ
to,ADP,ADP
not,ADV,ADV
even,ADJ,ADJ
bother,VERB,VERB
going,NOUN,NOUN
through,ADP,ADP
the,DET,DET
millions,NUM,NUM
of,ADP,ADP
mice,[],NOUN
out,ADV,ADV
there,ADV,ADV
.,PUNCT,PUNCT
I,PRON,PRON
LOVED,VERB,VERB
everything,PRON,PRON
about,ADV,ADV
this,PRON,PRON
mouse,NOUN,NOUN
and,CONJ,CONJ
had,VERB,VERB
no,ADV,ADV
complaints,NOUN,NOUN
.,PUNCT,PUNCT
As,CONJ,CONJ
long,ADJ,ADJ
as,CONJ,CONJ
they're,[],PRON
making,NOUN,NOUN
these,DET,DET
",",PUNCT,PUNCT
I'll,ADJ,ADJ
be,VERB,VERB
using,[],VERB
them,PRON,PRON
.,PUNCT,PUNCT
Not,ADV,ADV
happy,ADJ,ADJ
at,ADP,ADP
all,PRON,PRON
its,DET,DET
still,ADV,ADV
money,NOUN,NOUN
you,PRON,PRON
have,VERB,VERB
to,ADP,ADP
spend,VERB,VERB
to,ADP,ADP
watch,VERB,VERB
things,NOUN,NOUN
Awesome,ADJ,ADJ
product,NOUN,NOUN
.,PUNCT,PUNCT
I,PRON,PRON
ordered,ADJ,ADJ
this,PRON,PRON
for,ADP,ADP
my,DET,DET
grandson,NOUN,NOUN
.,PUNCT,PUNCT
He,PRON,PRON
loves,VERB,VERB
it,PRON,PRON
.,PUNCT,PUNCT
Good,ADJ,ADJ
quality,NOUN,NOUN
for,ADP,ADP
tv,NOUN,NOUN
Great,ADJ,ADJ
mouse,NOUN,NOUN
Best,ADJ,ADJ
purchase,NOUN,NOUN
.,PUNCT,PUNCT
I,PRON,PRON
recommend,VERB,VERB
the,DET,DET
Fire,VERB,VERB
stick,VERB,VERB
to,ADP,ADP
all,PRON,PRON
my,DET,DET
family,NOUN,NOUN
and,CONJ,CONJ
friends,NOUN,NOUN
.,PUNCT,PUNCT
I'm,VERB,VERB
so,ADV,ADV
happy,ADJ,ADJ
to,ADP,ADP
cut,VERB,VERB
my,DET,DET
cable,NOUN,NOUN
bill,NOUN,NOUN
.,PUNCT,PUNCT
I,PRON,PRON
was,VERB,VERB
on,ADP,ADP
bedrest,[],NOUN
for,ADP,ADP
3,NUM,NUM
months,NOUN,NOUN
during,ADP,ADP
my,DET,DET
pregnancy,NOUN,NOUN
and,CONJ,CONJ
I,PRON,PRON
never,ADV,ADV
ran,NOUN,NOUN
out,ADV,ADV
of,ADP,ADP
shows,VERB,VERB
and,CONJ,CONJ
