Token,GroundTruth,Brown Tag
First,NOUN,NOUN
visit,VERB,VERB
to,ADP,ADP
The,DET,DET
Cavern,NOUN,NOUN
it,PRON,PRON
was,VERB,VERB
brilliant,ADJ,ADJ
would,VERB,VERB
defo,ADV,ADV
.,PUNCT,PUNCT
go,VERB,VERB
again,ADV,ADV
if,CONJ,CONJ
in,ADP,ADP
the,DET,DET
area,NOUN,NOUN
xCavern,NOUN,[]
Club,NOUN,NOUN
Liverpool,NOUN,[]
One,NUM,NUM
of,ADP,ADP
the,DET,DET
best,ADJ,ADJ
.,PUNCT,PUNCT
.,PUNCT,PUNCT
in,ADP,ADP
the,DET,DET
world,NOUN,NOUN
.,PUNCT,PUNCT
.,PUNCT,PUNCT
Spent,ADJ,ADJ
nearly,ADV,ADV
three,NUM,NUM
hours,NOUN,NOUN
there,ADV,ADV
yesterdayMagical,NOUN,[]
experience,NOUN,NOUN
spent,ADJ,ADJ
too,ADV,ADV
much,ADV,ADV
money,NOUN,NOUN
thoughFabulous,VERB,[]
books,NOUN,NOUN
",",PUNCT,PUNCT
food,NOUN,NOUN
halls,NOUN,NOUN
and,CONJ,CONJ
toys,NOUN,NOUN
.,PUNCT,PUNCT
Love,VERB,VERB
the,DET,DET
Cavern,NOUN,NOUN
Club,NOUN,NOUN
had,VERB,VERB
a,NOUN,NOUN
fabulous,ADJ,ADJ
time,NOUN,NOUN
in,ADP,ADP
there,ADV,ADV
watching,VERB,VERB
the,DET,DET
fantastic,ADJ,ADJ
Tony,NOUN,NOUN
Coburn,NOUN,[]
great,ADJ,ADJ
atmosphere,NOUN,NOUN
.,PUNCT,PUNCT
Can't,NOUN,NOUN
wait,VERB,VERB
to,ADP,ADP
visit,VERB,VERB
again,ADV,ADV
.,PUNCT,PUNCT
Cavern,NOUN,NOUN
Club,NOUN,NOUN
Liverpool,NOUN,[]
likes,NOUN,NOUN
.,PUNCT,PUNCT
Loved,VERB,VERB
it,PRON,PRON
the,DET,DET
music,NOUN,NOUN
and,CONJ,CONJ
venue,NOUN,NOUN
is,VERB,VERB
amazing,ADJ,ADJ
well,ADV,ADV
worth,NOUN,NOUN
a,NOUN,NOUN
visit,VERB,VERB
.,PUNCT,PUNCT
Will,VERB,VERB
definitely,ADV,ADV
go,VERB,VERB
again,ADP,ADP
Cavern,NOUN,[]
Club,NOUN,NOUN
Liverpool,NOUN,[]
Wonderful,ADJ,ADJ
and,CONJ,CONJ
big,ADJ,ADJ
place,NOUN,NOUN
to,ADP,ADP
shop,NOUN,NOUN
.,PUNCT,PUNCT
Busy,ADJ,ADJ
and,CONJ,CONJ
lots,NOUN,NOUN
of,ADP,ADP
different,ADJ,ADJ
places,NOUN,NOUN
to,ADP,ADP
eat,VERB,VERB
.,PUNCT,PUNCT
I,PRON,PRON
enjoy,VERB,VERB
walking,NOUN,NOUN
around,ADV,ADV
and,CONJ,CONJ
look,VERB,VERB
at,ADP,ADP
the,DET,DET
nice,ADJ,ADJ
items,NOUN,NOUN
to,ADP,ADP
buy,VERB,VERB
.,PUNCT,PUNCT
Was,VERB,VERB
travelling,NOUN,NOUN
with,ADP,ADP
a,NOUN,NOUN
5,NUM,NUM
year,NOUN,NOUN
old,ADJ,ADJ
and,CONJ,CONJ
it,PRON,PRON
was,VERB,VERB
her,PRON,PRON
first,NOUN,NOUN
experience,NOUN,NOUN
flying,NOUN,NOUN
",",PUNCT,PUNCT
staff,NOUN,NOUN
were,VERB,VERB
very,ADJ,ADJ
warm,ADJ,ADJ
at,ADP,ADP
security,NOUN,NOUN
and,CONJ,CONJ
talked,VERB,VERB
us,PRON,PRON
through,ADP,ADP
everything,PRON,PRON
and,CONJ,CONJ
even,ADJ,ADJ
reassured,VERB,VERB
her,PRON,PRON
when,CONJ,CONJ
her,PRON,PRON
teddy,NOUN,NOUN
was,VERB,VERB
being,NOUN,NOUN
scanned,VERB,[]
.,PUNCT,PUNCT
The,DET,DET
play,VERB,VERB
area,NOUN,NOUN
for,ADP,ADP
kids,NOUN,NOUN
was,VERB,VERB
a,NOUN,NOUN
lifesaver,NOUN,[]
",",PUNCT,PUNCT
I,PRON,PRON
just,ADV,ADV
wish,VERB,VERB
they,PRON,PRON
had,VERB,VERB
more,ADV,ADV
of,ADP,ADP
the,DET,DET
lying,VERB,VERB
back,VERB,VERB
seats,NOUN,NOUN
in,ADP,ADP
the,DET,DET
waiting,VERB,VERB
areas,NOUN,NOUN
.,PUNCT,PUNCT
Fuckin',VERB,[]
beautiful,ADJ,ADJ
.,PUNCT,PUNCT
Didn't,VERB,[]
have,VERB,VERB
any,PRON,PRON
trouble,VERB,VERB
about,ADV,ADV
it,PRON,PRON
.,PUNCT,PUNCT
The,DET,DET
only,ADV,ADV
thing,NOUN,NOUN
you,PRON,PRON
need,VERB,VERB
is,VERB,VERB
a,NOUN,NOUN
lot,NOUN,NOUN
of,ADP,ADP
money,NOUN,NOUN
to,ADP,ADP
buy,VERB,VERB
something,PRON,PRON
.,PUNCT,PUNCT
However,ADV,ADV
",",PUNCT,PUNCT
the,DET,DET
place,NOUN,NOUN
",",PUNCT,PUNCT
and,CONJ,CONJ
the,DET,DET
zone,NOUN,NOUN
where,ADV,ADV
it,PRON,PRON
is,VERB,VERB
situated,ADJ,ADJ
",",PUNCT,PUNCT
are,VERB,VERB
awesome,ADJ,ADJ
.,PUNCT,PUNCT
Absolutely,ADV,ADV
a,NOUN,NOUN
joke,NOUN,NOUN
.,PUNCT,PUNCT
Getting,VERB,[]
worst,ADJ,ADJ
and,CONJ,CONJ
worst,ADJ,ADJ
every,DET,DET
year,NOUN,NOUN
.,PUNCT,PUNCT
The,DET,DET
Christmas,NOUN,NOUN
grotto,NOUN,NOUN
system,NOUN,NOUN
was,VERB,VERB
an,DET,DET
absolute,ADJ,ADJ
joke,NOUN,NOUN
.,PUNCT,PUNCT
I,PRON,PRON
always,ADV,ADV
receive,VERB,VERB
'save,VERB,VERB
the,DET,DET
date',NOUN,NOUN
and,CONJ,CONJ
I,PRON,PRON
make,VERB,VERB
sure,ADJ,ADJ
I,PRON,PRON
take,VERB,VERB
the,DET,DET
morning,NOUN,NOUN
off,ADV,ADV
just,ADV,ADV
to,ADP,ADP
book,NOUN,NOUN
tickets,NOUN,NOUN
and,CONJ,CONJ
I,PRON,PRON
didn't,VERB,[]
receive,VERB,VERB
the,DET,DET
email,NOUN,NOUN
to,ADP,ADP
even,ADJ,ADJ
book,NOUN,NOUN
tickets,NOUN,NOUN
and,CONJ,CONJ
when,CONJ,CONJ
I,PRON,PRON
did,VERB,VERB
it,PRON,PRON
said,VERB,VERB
sorry,ADJ,ADJ
sold,VERB,VERB
out,ADV,ADV
so,ADV,ADV
why,ADV,ADV
said,VERB,VERB
me,NOUN,NOUN
the,DET,DET
email,NOUN,NOUN
.,PUNCT,PUNCT
What,PRON,PRON
was,VERB,VERB
the,DET,DET
point,NOUN,NOUN
in,ADP,ADP
even,ADJ,ADJ
giving,NOUN,NOUN
us,PRON,PRON
hope,VERB,VERB
.,PUNCT,PUNCT
Something,PRON,PRON
that,PRON,PRON
